Texto,Sentimiento,ciudad,Experiencia,Fecha,fuente
Visita de la Sagrada Familia sin colas,Bueno,Barcelona,cultura,,Civitatis
Free tour por Barcelona,Bueno,Barcelona,tour,,Civitatis
Sagrada Familia con subida a las torres,Bueno,Barcelona,cultura,,Civitatis
Excursión a Montserrat con tren cremallera,Bueno,Barcelona,tour,,Civitatis
Traslados en Barcelona,Bueno,Barcelona,hotel,,Civitatis
Tour por la Sagrada Familia y el Parque Güell,Bueno,Barcelona,cultura,,Civitatis
Visita guiada por el Parque Güell,Bueno,Barcelona,cultura,,Civitatis
Tour de Barcelona al completo en grupo reducido,Bueno,Barcelona,cultura,,Civitatis
Free tour de Gaudí y la Barcelona modernista,Bueno,Barcelona,cultura,,Civitatis
Free tour nocturno por el Barrio Gótico,Bueno,Barcelona,cultura,,Civitatis
Entrada a la Casa Batlló,Bueno,Barcelona,cultura,,Civitatis
Excursión a Andorra y Mont-Louis,Bueno,Barcelona,tour,,Civitatis
Tarjeta eSIM Civitatis España,Bueno,Barcelona,otro,,Civitatis
Entradas al Parque Güell con audioguía,Desconocido,Barcelona,cultura,,Civitatis
Excursión a Lloret y Tossa de Mar,Bueno,Barcelona,playa,,Civitatis
"Autobús turístico de Barcelona, City Sightseeing",Bueno,Barcelona,tour,,Civitatis
"Excursión a Gerona, Figueras y Cadaqués",Bueno,Barcelona,playa,,Civitatis
Entrada al Museo Spotify Camp Nou,Bueno,Barcelona,museo,,Civitatis
"Excursión a Gerona, Figueras y Museo Dalí",Bueno,Barcelona,museo,,Civitatis
Paseo en catamarán por Barcelona,Bueno,Barcelona,tour,,Civitatis
"Tour por el barrio Gótico, Montjuïc, Paseo de Gracia y El Born",Bueno,Barcelona,cultura,,Civitatis
Free tour de los misterios y leyendas del Barrio Gótico,Bueno,Barcelona,cultura,,Civitatis
Paseo en catamarán al atardecer con música en directo,Bueno,Barcelona,museo,,Civitatis
Tour de los misterios y leyendas de Barcelona,Bueno,Barcelona,tour,,Civitatis
Excursión a Montserrat y Gerona,Bueno,Barcelona,cultura,,Civitatis
Free tour por Montjuïc,Bueno,Barcelona,cultura,,Civitatis
"Excursión a Cardona, Montaña de Sal y Montserrat en grupo reducido",Bueno,Barcelona,cultura,,Civitatis
Entrada a La Pedrera,Bueno,Barcelona,cultura,,Civitatis
Excursión a Tarragona y Sitges en grupo reducido,Bueno,Barcelona,playa,,Civitatis
Teleférico de Montjuïc,Bueno,Barcelona,cultura,,Civitatis
Fiesta en catamarán Sensation Barcelona,Bueno,Barcelona,museo,,Civitatis
Free tour por el Parque Güell,Bueno,Barcelona,cultura,,Civitatis
Bautismo de buceo en Barcelona,Bueno,Barcelona,deporte,,Civitatis
Visita por el Palau de la Música Catalana,Bueno,Barcelona,museo,,Civitatis
Tour privado por Barcelona,Bueno,Barcelona,tour,,Civitatis
Autobús turístico Barcelona City Tour,Bueno,Barcelona,tour,,Civitatis
Excursión a la Costa Brava,Bueno,Barcelona,playa,,Civitatis
Visita guiada por la Casa Batlló,Bueno,Barcelona,tour,,Civitatis
Hard Rock Cafe Barcelona sin colas,Bueno,Barcelona,museo,,Civitatis
Visita guiada por la basílica de Santa María del Mar,Bueno,Barcelona,cultura,,Civitatis
Tour en paddle surf por Barcelona,Bueno,Barcelona,vida nocturna,,Civitatis
Espectáculo flamenco en el Tablao El Duende,Bueno,Barcelona,museo,,Civitatis
