id,ciudad,titulo,rating,precio
trip_1,sevilla,Show Flamenco Auténtico en el Teatro Flamenco Sevilla,4.8,26.0
trip_2,sevilla,"Tour gastronómico por Sevilla: tapas, vino, historia y tradiciones",4.9,75.0
trip_3,sevilla,Tour alcázar y catedral de Sevilla con entradas sin colas,4.7,59.0
trip_4,sevilla,"Paseo en Barco ""Los Rincones del Guadalquivir""",4.8,25.0
trip_5,sevilla,"Visita guiada Sevilla Alcázar, Catedral y Giralda",4.9,54.0
trip_6,sevilla,Entrada al espectáculo de flamenco en la Casa de la Memoria,4.6,22.0
trip_7,sevilla,Evite las colas: Entrada para espectáculo de flamenco en el tablao flamenco El Arenal de Sevilla,4.6,47.0
trip_8,sevilla,"Monumentos de Sevilla: entradas a la catedral, el Alcázar y la Giralda",4.3,52.0
trip_9,sevilla,Crucero en un fantástico barco por el Guadalquivir,4.6,25.0
trip_10,sevilla,Entradas Espectáculo Flamenco al Teatro Flamenco Triana,4.8,25.0
trip_11,sevilla,Tour de Bienvenida a Sevilla en Eco Tuk Tuk Privado,4.9,36.0
trip_12,sevilla,Tour de clase de cocina española y mercado de Triana en Sevilla,5.0,70.0
trip_13,sevilla,Recorrido en bicicleta por lo más destacado de Sevilla (inglés),4.9,35.0
trip_14,sevilla,Recorrido de un día guiado por los Pueblos Blancos desde Sevilla,4.6,79.0
trip_15,sevilla,Espectáculo de flamenco en el Museo del Baile Flamenco en Sevilla,4.7,25.0
trip_16,sevilla,El tour de tapas por Sevilla de la mano de Food Lover Tour,5.0,73.0
trip_17,sevilla,Visita guiada al Alcázar de Sevilla para grupos pequeños con entrada,5.0,55.0
trip_18,sevilla,Visita a la Catedral y Giralda de Sevilla con entradas sin colas,4.6,32.0
trip_19,sevilla,Escapada de un día a Córdoba y Carmona desde Sevilla,4.7,99.0
trip_20,sevilla,"Recorrido de día completo en Granada, la Alhambra y el Albaicín desde Sevilla con acceso Evite las colas",4.5,79.0
trip_21,sevilla,Entrada oficial sin colas al Real Alcázar,4.0,15.0
trip_22,sevilla,Entrada para Espectáculo de Flamenco Casa de la Guitarra,4.7,20.0
trip_23,sevilla,Tour a pie por Sevilla (grupos pequeños),4.9,20.0
trip_24,sevilla,Crucero Ecológico por el Guadalquivir,3.9,17.0
