Year,Category,Indicator,Value,Country
1995,Expenditure,Passenger transport,2.001.000,Spain
1995,Expenditure,Travel,25.368.000,Spain
1996,Expenditure,Passenger transport,2.583.000,Spain
1996,Expenditure,Travel,27.168.000,Spain
1997,Expenditure,Passenger transport,2.464.000,Spain
1997,Expenditure,Travel,26.185.000,Spain
1998,Expenditure,Passenger transport,2.475.000,Spain
1998,Expenditure,Travel,29.117.000,Spain
1999,Expenditure,Passenger transport,,Spain
1999,Expenditure,Travel,32.733.000,Spain
2000,Expenditure,Passenger transport,,Spain
2000,Expenditure,Travel,31.528.000,Spain
2001,Expenditure,Passenger transport,,Spain
2001,Expenditure,Travel,32.519.000,Spain
2002,Expenditure,Passenger transport,,Spain
2002,Expenditure,Travel,34.130.000,Spain
2003,Expenditure,Passenger transport,,Spain
2003,Expenditure,Travel,42.786.000,Spain
2004,Expenditure,Passenger transport,,Spain
2004,Expenditure,Travel,48.746.000,Spain
2005,Expenditure,Passenger transport,,Spain
2005,Expenditure,Travel,51.959.000,Spain
2006,Expenditure,Passenger transport,,Spain
2006,Expenditure,Travel,56.181.000,Spain
2007,Expenditure,Passenger transport,,Spain
2007,Expenditure,Travel,63.491.000,Spain
2008,Expenditure,Passenger transport,,Spain
2008,Expenditure,Travel,68.875.000,Spain
2009,Expenditure,Passenger transport,,Spain
2009,Expenditure,Travel,59.795.000,Spain
2010,Expenditure,Passenger transport,,Spain
2010,Expenditure,Travel,58.348.000,Spain
2011,Expenditure,Passenger transport,,Spain
2011,Expenditure,Travel,67.809.000,Spain
2012,Expenditure,Passenger transport,,Spain
2012,Expenditure,Travel,62.936.000,Spain
2013,Expenditure,Passenger transport,,Spain
2013,Expenditure,Travel,68.414.000,Spain
2014,Expenditure,Passenger transport,,Spain
2014,Expenditure,Travel,71.656.000,Spain
2015,Expenditure,Passenger transport,,Spain
2015,Expenditure,Travel,62.449.000,Spain
2016,Expenditure,Passenger transport,,Spain
2016,Expenditure,Travel,66.982.000,Spain
2017,Expenditure,Passenger transport,,Spain
2017,Expenditure,Travel,75.906.000,Spain
2018,Expenditure,Passenger transport,,Spain
2018,Expenditure,Travel,81.420.000,Spain
2019,Expenditure,Passenger transport,,Spain
2019,Expenditure,Travel,79.571.000,Spain
2020,Expenditure,Passenger transport,,Spain
2020,Expenditure,Travel,18.379.000,Spain
2021,Expenditure,Passenger transport,,Spain
2021,Expenditure,Travel,34.183.000,Spain
2022,Expenditure,Passenger transport,,Spain
2022,Expenditure,Travel,72.097.000,Spain
