Year,Country,Indicator,Category,Value
1995,Algeria,Overnights visitors (tourists),Departures,1.09
1995,Algeria,Same-day visitors (excursionists),Departures,0.0
1995,Angola,Overnights visitors (tourists),Departures,3.0
1995,Angola,Same-day visitors (excursionists),Departures,0.0
1995,Argentina,Overnights visitors (tourists),Departures,3.815
1995,Argentina,Same-day visitors (excursionists),Departures,0.0
1995,Bangladesh,Overnights visitors (tourists),Departures,830.0
1995,Bangladesh,Same-day visitors (excursionists),Departures,0.0
1995,"Bolivia, Plurinational State Of",Overnights visitors (tourists),Departures,249.0
1995,"Bolivia, Plurinational State Of",Same-day visitors (excursionists),Departures,0.0
1995,Brazil,Overnights visitors (tourists),Departures,2.6
1995,Brazil,Same-day visitors (excursionists),Departures,0.0
1995,British Virgin Islands,Overnights visitors (tourists),Departures,79.0
1995,British Virgin Islands,Same-day visitors (excursionists),Departures,0.0
1995,Bulgaria,Overnights visitors (tourists),Departures,3.524
1995,Bulgaria,Same-day visitors (excursionists),Departures,0.0
1995,Burundi,Overnights visitors (tourists),Departures,36.0
1995,Burundi,Same-day visitors (excursionists),Departures,0.0
1995,Cambodia,Overnights visitors (tourists),Departures,31.0
1995,Cambodia,Same-day visitors (excursionists),Departures,0.0
1995,Canada,Overnights visitors (tourists),Departures,18.206
1995,Canada,Same-day visitors (excursionists),Departures,37.491
1995,China,Overnights visitors (tourists),Departures,4.52
1995,China,Same-day visitors (excursionists),Departures,0.0
1995,Colombia,Overnights visitors (tourists),Departures,1.057
1995,Colombia,Same-day visitors (excursionists),Departures,0.0
1995,Cook Islands,Overnights visitors (tourists),Departures,6.0
1995,Cook Islands,Same-day visitors (excursionists),Departures,0.0
1995,Costa Rica,Overnights visitors (tourists),Departures,273.0
1995,Costa Rica,Same-day visitors (excursionists),Departures,0.0
1995,Cuba,Overnights visitors (tourists),Departures,72.0
1995,Cuba,Same-day visitors (excursionists),Departures,0.0
1995,Dominican Republic,Overnights visitors (tourists),Departures,168.0
1995,Dominican Republic,Same-day visitors (excursionists),Departures,0.0
1995,Ecuador,Overnights visitors (tourists),Departures,271.0
1995,Ecuador,Same-day visitors (excursionists),Departures,0.0
1995,Egypt,Overnights visitors (tourists),Departures,2.683
1995,Egypt,Same-day visitors (excursionists),Departures,0.0
1995,Estonia,Overnights visitors (tourists),Departures,1.764
1995,Estonia,Same-day visitors (excursionists),Departures,0.0
1995,Ethiopia,Overnights visitors (tourists),Departures,120.0
1995,Ethiopia,Same-day visitors (excursionists),Departures,0.0
1995,Fiji,Overnights visitors (tourists),Departures,68.0
1995,Fiji,Same-day visitors (excursionists),Departures,0.0
1995,Finland,Overnights visitors (tourists),Departures,5.147
1995,Finland,Same-day visitors (excursionists),Departures,0.0
1995,France,Overnights visitors (tourists),Departures,18.686
1995,France,Same-day visitors (excursionists),Departures,0.0
1995,French Polynesia,Overnights visitors (tourists),Departures,63.0
1995,French Polynesia,Same-day visitors (excursionists),Departures,0.0
1995,Georgia,Overnights visitors (tourists),Departures,228.0
1995,Georgia,Same-day visitors (excursionists),Departures,0.0
1995,Honduras,Overnights visitors (tourists),Departures,149.0
1995,Honduras,Same-day visitors (excursionists),Departures,0.0
1995,Iceland,Overnights visitors (tourists),Departures,166.0
1995,Iceland,Same-day visitors (excursionists),Departures,0.0
1995,India,Overnights visitors (tourists),Departures,3.056
1995,India,Same-day visitors (excursionists),Departures,0.0
1995,"Iran, Islamic Republic Of",Overnights visitors (tourists),Departures,1.0
1995,"Iran, Islamic Republic Of",Same-day visitors (excursionists),Departures,0.0
1995,Israel,Overnights visitors (tourists),Departures,2.259
1995,Israel,Same-day visitors (excursionists),Departures,0.0
1995,Jordan,Overnights visitors (tourists),Departures,1.128
1995,Jordan,Same-day visitors (excursionists),Departures,0.0
1995,Kuwait,Overnights visitors (tourists),Departures,878.0
1995,Kuwait,Same-day visitors (excursionists),Departures,0.0
1995,Kyrgyzstan,Overnights visitors (tourists),Departures,42.0
1995,Kyrgyzstan,Same-day visitors (excursionists),Departures,0.0
1995,Libya,Overnights visitors (tourists),Departures,484.0
