Year,Category,Indicator,Value,Country
1995,Outbound Expenditure,Passenger transport,12.000.000,Albania
1995,Outbound Expenditure,Tourism expenditure in other countries,19.000.000,Albania
1995,Outbound Expenditure,Travel,7.000.000,Albania
1995,Outbound Expenditure,Travel,186.000.000,Algeria
1995,Outbound Expenditure,Passenger transport,38.000.000,Angola
1995,Outbound Expenditure,Tourism expenditure in other countries,113.000.000,Angola
1995,Outbound Expenditure,Travel,75.000.000,Angola
1995,Outbound Expenditure,Travel,6.000.000,Anguilla
1995,Outbound Expenditure,Travel,23.000.000,Antigua And Barbuda
1995,Outbound Expenditure,Passenger transport,735.000.000,Argentina
1995,Outbound Expenditure,Tourism expenditure in other countries,4.013.000.000,Argentina
1995,Outbound Expenditure,Travel,3.278.000.000,Argentina
1995,Outbound Expenditure,Passenger transport,9.000.000,Armenia
1995,Outbound Expenditure,Tourism expenditure in other countries,12.000.000,Armenia
1995,Outbound Expenditure,Travel,3.000.000,Armenia
1995,Outbound Expenditure,Passenger transport,6.000.000,Aruba
1995,Outbound Expenditure,Tourism expenditure in other countries,79.000.000,Aruba
1995,Outbound Expenditure,Travel,73.000.000,Aruba
1995,Outbound Expenditure,Passenger transport,2.440.000.000,Australia
1995,Outbound Expenditure,Tourism expenditure in other countries,7.605.000.000,Australia
1995,Outbound Expenditure,Travel,5.165.000.000,Australia
1995,Outbound Expenditure,Passenger transport,799.000.000,Austria
1995,Outbound Expenditure,Tourism expenditure in other countries,11.686.000.000,Austria
1995,Outbound Expenditure,Travel,10.887.000.000,Austria
1995,Outbound Expenditure,Passenger transport,19.000.000,Azerbaijan
1995,Outbound Expenditure,Tourism expenditure in other countries,165.000.000,Azerbaijan
1995,Outbound Expenditure,Travel,146.000.000,Azerbaijan
1995,Outbound Expenditure,Passenger transport,28.000.000,Bahamas
1995,Outbound Expenditure,Tourism expenditure in other countries,241.000.000,Bahamas
1995,Outbound Expenditure,Travel,213.000.000,Bahamas
1995,Outbound Expenditure,Passenger transport,198.000.000,Bahrain
1995,Outbound Expenditure,Tourism expenditure in other countries,320.000.000,Bahrain
1995,Outbound Expenditure,Travel,122.000.000,Bahrain
1995,Outbound Expenditure,Travel,234.000.000,Bangladesh
1995,Outbound Expenditure,Passenger transport,39.000.000,Barbados
1995,Outbound Expenditure,Tourism expenditure in other countries,110.000.000,Barbados
1995,Outbound Expenditure,Travel,71.000.000,Barbados
1995,Outbound Expenditure,Passenger transport,14.000.000,Belarus
