id,ciudad,titulo,rating,precio
civ_1,Barcelona,Si hay un lugar que nadie puede perderse en Barcelona es la Sagrada Familia. En esta visita descubriremos la obra maestra de Gaudí saltándonos sus colas.,4.2,55.0
civ_2,Barcelona,"El free tour por Barcelona es la mejor forma de explorar a pie la capital catalana. Conoceremos las calles, plazas y monumentos imprescindibles de la ciudad.",4.8,0.0
civ_3,Barcelona,En esta visita a la Sagrada Familia conoceremos el lugar más famoso de Barcelona y subiremos a una de sus torres. ¡Tendremos una vista inmejorable de la ciudad!,3.9,109.0
civ_4,Barcelona,"En esta excursión a Montserrat podréis visitar el Santuario de la Patrona de Cataluña, a 1236 metros de altura, y llegar en tren cremallera.",4.3,62.0
civ_5,Barcelona,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",3.7,39.0
civ_6,Barcelona,"En este tour por Barcelona visitaremos la Sagrada Familia y el Parque Güell, las dos grandes joyas de la arquitectura modernista de Antonio Gaudí.",3.9,113.0
civ_7,Barcelona,En esta visita guiada por el Parque Güell de Barcelona visitaremos una de las grandes joyas modernistas de Antonio Gaudí en la capital de Cataluña.,4.0,37.0
civ_8,Barcelona,"La Sagrada Familia, el Parque Güell, el Barrio Gótico... Acompañadnos en este tour de Barcelona al completo en el que visitaremos lo mejor de la Ciudad Condal.",4.6,153.5
civ_9,Barcelona,Acompañadnos a visitar el corazón de Barcelona en este free tour de Gaudí que nos llevará a descubrir los principales símbolos del modernismo en España.,4.8,0.0
civ_10,Barcelona,En este free tour nocturno por el Barrio Gótico de Barcelona conoceremos la historia de la Ciudad Condal mientras contemplamos su preciosa iluminación.,4.8,0.0
civ_11,Barcelona,Con la entrada a la Casa Batlló os sumergiréis en esta joya del modernismo y uno de los iconos de Barcelona. Conoceréis una de las obras más creativas de Gaudí.,4.7,35.0
civ_12,Barcelona,"¿Queréis conocer Andorra? En esta excursión desde Barcelona visitaremos Andorra la Vella, Circo de Pessons y el bonito pueblo francés de Mont-Louis.",4.3,109.0
civ_13,Barcelona,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.0,3.88
civ_14,Barcelona,Con estas entradas al Parque Güell os adentraréis en un mundo de fantasía y exploraréis cada rincón de esta joya modernista gracias a una audioguía en español.,4.4,29.99
civ_15,Barcelona,En esta excursión a Lloret de Mar y Tossa de Mar descubriremos los dos pueblos que representan la esencia de la Costa Brava. También daremos un paseo en barco.,4.8,57.0
civ_16,Barcelona,A bordo del autobús turístico de Barcelona contaréis con dos rutas y múltiples paradas en las que podréis subir y bajar todas las veces que queráis.,4.3,33.0
civ_17,Barcelona,"Si estáis en Barcelona y queréis visitar lo mejor de la Costa Brava, no os perdáis esta excursión a Gerona, Figueras y Cadaqués. ¡Tres lugares imprescindibles!",4.7,65.0
civ_18,Barcelona,"Si queréis conocer los secretos del Fútbol Club Barcelona, con esta entrada al Museo Spotify Camp Nou podréis recorrer a vuestro aire el Museo del Barça.",4.0,33.0
civ_19,Barcelona,"En esta excursión a Gerona y Figueras conoceremos dos de las ciudades más especiales de Cataluña. Además, visitaremos el Museo Dalí, la obra magna del artista.",4.5,85.0
civ_20,Barcelona,En este paseo en catamarán por Barcelona navegaremos a bordo de una embarcación ecológica propulsada por energía solar. ¡Tendréis las mejores vistas!,4.1,13.0
civ_21,Barcelona,"¿Queréis conocer lo mejor de Barcelona en pocas horas? En este tour recorreremos la ciudad, subiremos al teleférico de Montjuïc y visitaremos el Barrio Gótico.",4.3,52.0
civ_22,Barcelona,Acompañadnos en este free tour por Barcelona en el que os contaremos los misterios y leyendas más divertidas del Barrio Gótico. ¡Lo pasaréis en grande!,4.6,0.0
civ_23,Barcelona,"Contempla el skyline de Barcelona mientras disfrutas de un paseo en catamarán. Además, escucharás música jazz en vivo. ¡Inolvidable!",4.5,25.5
civ_24,Barcelona,En esta ruta nocturna por Barcelona descubriremos las historias y leyendas de la Ciudad Condal en sus calles más antiguas. ¿Listos para desvelar sus misterios?,4.7,14.0
civ_25,Barcelona,Descubrid dos tesoros de Cataluña en esta excursión a Montserrat y Gerona. Visitaremos el Monasterio y recorreremos una de las ciudades más bellas de España.,4.2,109.99
civ_26,Barcelona,"Naturaleza, historia y miradores protagonizan este free tour por Montjuïc. Un recorrido repleto de curiosidades por la montaña más famosa de Barcelona.",4.8,0.0
civ_27,Barcelona,En esta excursión viajaremos hasta el siglo IX y nos adentraremos en los vestigios romanos del castillo de Cardona y visitaremos su Montaña de Sal.,4.6,110.0
civ_28,Barcelona,"Adentraos en el mundo arquitectónico de Gaudí visitando la Casa Milà, conocida popularmente como La Pedrera. ¡Todo un imprescindible de Barcelona!",4.5,29.0
civ_29,Barcelona,En esta excursión a Tarragona y Sitges desde Barcelona visitaremos estas dos preciosas localidades de la costa catalana que os enamorarán de principio a fin.,4.5,98.5
civ_30,Barcelona,Con esta entrada al Teleférico de Montjuïc podréis ascender hasta la cima de la montaña con más historia de Barcelona y disfrutar de las vistas de la ciudad.,4.3,17.0
civ_31,Barcelona,"Viveremos una inolvidable fiesta a bordo del Catamarán Sensation de Barcelona. Música en directo, DJs y muchas sorpresas más os esperan en alta mar.",4.4,50.0
civ_32,Barcelona,En este free tour por el Parque Güell conoceremos los puntos más importantes de una de las obras más emblemáticas de Antoni Gaudí. ¡Un recorrido imprescindible!,4.7,0.0
civ_33,Barcelona,Descubrid Barcelona de una forma única y atreveos a desvelar los misterios que esconden sus aguas con este bautismo de buceo. ¡Os encantará!,4.8,60.0
civ_34,Barcelona,Durante la visita por el Palau de la Música admiraremos la única sala de conciertos Patrimonio de la Humanidad. ¡Uno de los edificios más famosos de Barcelona!,4.4,22.0
civ_35,Barcelona,"Reservando nuestra visita privada tendréis un guía para descubrir Barcelona en exclusiva con vuestra pareja, con tu familia o con tu grupo de amigos.",4.7,160.0
civ_36,Barcelona,Conoced la capital catalana a vuestro ritmo a bordo del autobús turístico Barcelona City Tour. ¡Podréis subir y bajar durante todo el día con el mismo billete!,4.2,33.0
civ_37,Barcelona,"En este tour descubriremos los rincones más fascinantes de la Costa Brava. Visitaremos lugares como Calella de Palafrugell, Llafranc, Pals y Peratallada .",4.8,59.0
civ_38,Barcelona,"Descubrid uno de los monumentos más importantes de Barcelona en esta visita guiada por la Casa Batlló. Además, podréis completarlo visitando La Pedrera.",4.2,56.0
civ_39,Barcelona,"Contágiate de rock y vive una experiencia gastronómica única en el Hard Rock Cafe, un restaurante que ofrece comida internacional y buena música.",4.7,26.25
civ_40,Barcelona,La catedral del mar popularizó uno de los grandes templos de Barcelona. Descubriremos sus secretos en esta visita guiada por la basílica de Santa María del Mar.,4.5,19.0
civ_41,Barcelona,"Practica paddle surf en Barcelona y descubre sus maravillosas vistas de día, al atardecer o de noche. ¡Una experiencia única en la Ciudad Condal!",4.2,30.0
civ_42,Barcelona,"Asistiendo a un espectáculo flamenco en el Tablao El Duende, seréis testigos de este arte declarado Patrimonio de la Humanidad en plena Rambla de Barcelona.",5.0,25.0
civ_43,Barcelona,En este free tour por la Barceloneta y la Ciudadela visitaremos el parque más grande de la capital catalana y la playa más famosa de Barcelona. ¡Imprescindible!,4.8,0.0
civ_44,Barcelona,"Con esta entrada al Recinto Modernista de Sant Pau podréis descubrir el conjunto modernista más grande del mundo, obra del arquitecto Lluís Domènech i Montaner.",4.3,18.0
civ_45,Barcelona,"Vivid una experiencia única con un espectáculo audiovisual en la Casa Milà, La Pedrera. Descubriréis los secretos de esta gran obra modernista.",4.2,35.0
civ_46,Barcelona,"Enamoraos de Barcelona realizando un paseo en Las Golondrinas, los barcos del puerto de la ciudad. Veréis los principales atractivos de la capital catalana.",4.3,8.0
civ_47,Barcelona,"En esta excursión conoceremos Cadaqués, Figueras y Portlligat, lugares que marcaron la vida de Salvador Dalí. Además, visitaremos dos museos del célebre pintor.",4.5,159.0
civ_48,Barcelona,En este free tour por el exterior de la Sagrada Familia os acompañaremos a descubrir los grandes secretos y la arquitectura de la obra maestra de Gaudí.,4.8,0.0
