id,ciudad,titulo,rating,precio
book_a0001,Barcelona,Entrada a la Sagrada Familia con audioguía,4.6,34.0
book_a0002,Barcelona,Entrada al Park Güell,4.3,21.0
book_a0003,Barcelona,Tarjeta de viaje Hola Barcelona,4.6,18.0
book_a0004,Barcelona,Tour en autobús turístico,4.4,33.0
book_a0005,Barcelona,Entrada a la Sagrada Familia,4.5,34.0
book_a0006,Barcelona,Billete para el teleférico de Montjuïc,4.4,17.0
book_a0007,Barcelona,Entrada prioritaria para el Aquàrium de Barcelona,4.3,29.0
book_a0008,Barcelona,Entrada Blue a la Casa Batlló,4.6,35.0
book_a0009,Barcelona,Barcelona: Visita guiada al parque Güell con entrada sin colas,4.1,32.0
book_a0010,Barcelona,Sagrada Familia revelada: visita guiada con entrada rápida,4.7,59.0
book_a0011,Barcelona,Barcelona: Visita guiada sin colas y entradas,4.6,52.0
book_a0012,Barcelona,Ticket para el zoológico de Barcelona,4.3,21.0
book_a0013,Barcelona,Entrada con audioguía a La Pedrera-Casa Milà,4.6,29.0
book_a0014,Barcelona,Entrada al Museu Picasso,4.1,31.0
book_a0015,Barcelona,Espectáculo de Flamenco El Duende con bebida en La Rambla Barcelona,4.4,27.0
book_a0016,Barcelona,Tour guiado por la Sagrada Familia con acceso prioritario,4.6,65.0
book_a0017,Barcelona,Entrada al Museo Moco de Barcelona,4.6,16.0
book_a0018,Barcelona,Visita guiada al Parque Güell con entrada sin colas,4.3,29.0
book_a0019,Barcelona,Entrada Gold a la Casa Batlló,4.7,45.0
book_a0020,Barcelona,Entrada a la Catedral de Barcelona - Guía privado opcional,4.3,30.0
book_a0021,Barcelona,Excursión en barco por la costa,3.9,12.0
book_a0022,Barcelona,Entrada al Palacio Güell,4.5,12.0
book_a0023,Barcelona,Tour en autobús turístico,4.3,33.0
book_a0024,Barcelona,Crucero de jazz al atardecer,4.5,27.0
book_a0025,Barcelona,Entrada al espectáculo de flamenco,4.3,25.0
book_a0026,Barcelona,Entrada a la Casa Batlló,4.8,29.0
book_a0027,Barcelona,Tour por La Pedrera con audioguía,4.7,29.0
book_a0028,Barcelona,Tour guiado en inglés por la Sagrada Familia,4.9,64.0
book_a0029,Barcelona,Entrada al mirador de la Torre Glòries,4.4,18.0
book_a0030,Barcelona,Tour de una hora en un catamarán ecológico,4.2,13.0
book_a0031,Barcelona,Ticket para la Casa Milà (La Pedrera),4.7,29.0
book_a0032,Barcelona,Entrada a la Casa Vicens,4.8,21.0
book_a0033,Barcelona,Entrada al Museo de Cera de Barcelona,4.7,21.0
book_a0034,Barcelona,Tour guiado por la Sagrada Familia con acceso a las torres,4.3,72.0
book_a0035,Barcelona,Ticket para el Palau de la Música Catalana en Barcelona,4.7,18.0
book_a0036,Barcelona,Visita guiada al Parque Güell con entradas reservadas,4.3,26.0
book_a0037,Barcelona,Tour de medio día por la basílica de Montserrat,4.5,62.0
book_a0038,Barcelona,Barcelona: Visita a la Sagrada Familia grupos entrada sin colas,4.6,55.0
