id,ciudad,titulo,rating,precio
bookh_1,Barcelona,AB Centric Universitat,4.5,382.0
bookh_2,Barcelona,AB Marina Apartments,3.8,305.0
bookh_3,Barcelona,AB Montjuic,3.8,329.0
bookh_4,Barcelona,AB Nou de la Rambla,3.8,268.0
bookh_5,Barcelona,AB Paral·lel Spacious Apartments,3.9,369.0
bookh_6,Barcelona,AB Sagrada Familia - Sant Pau,4.2,323.0
bookh_7,Barcelona,- AB Sagrada Familia Views I-II,4.2,323.0
bookh_8,Barcelona,ABaC Restaurant Hotel Barcelona GL Monumento,4.5,299.07
bookh_9,Barcelona,Abba Garden,4.2,124.18
bookh_10,Barcelona,Abba Rambla Hotel,4.2,151.13
bookh_11,Barcelona,Abba Sants,4.2,161.12
bookh_12,Barcelona,AC Hotel Diagonal L'Illa by Marriott,4.4,228.68
bookh_13,Barcelona,AC Hotel Irla by Marriott,4.2,210.15
bookh_14,Barcelona,AC Hotel Sants by Marriott,4.2,212.13
bookh_15,Barcelona,AC Hotel Victoria Suites by Marriott,4.3,274.21
bookh_16,Barcelona,Acacia Suite,4.0,349.0
bookh_17,Barcelona,Acevi Villarroel,4.2,221.6
bookh_18,Barcelona,Acogedoras habitaciones en Valencia,3.0,71.54
bookh_19,Barcelona,Acta Antibes,4.2,448.29
bookh_20,Barcelona,Acta Atrium Palace,4.1,153.07
bookh_21,Barcelona,Acta BCN 40,4.2,132.76
bookh_22,Barcelona,Acta CITY47,4.2,137.33
bookh_23,Barcelona,Acta Splendid,4.3,147.33
bookh_24,Barcelona,Acta Voraport,4.5,162.06
bookh_25,Barcelona,Ako Suite Hotel,4.2,178.47
bookh_26,Barcelona,Alani Montjuic,3.5,84.0
bookh_27,Barcelona,Alba Hotel,3.5,159.5
bookh_28,Barcelona,Alberg Sants Bcn,2.9,131.6
bookh_29,Barcelona,Alberguinn,3.4,32.67
bookh_30,Barcelona,Alcam Entenza,4.0,543.0
bookh_31,Barcelona,Alcam Les Corts,3.3,287.0
bookh_32,Barcelona,Alcam Sombrerers,3.5,310.0
bookh_33,Barcelona,"Alexandra Barcelona Hotel, Curio Collection by Hilton",4.4,316.88
bookh_34,Barcelona,Allegro Barcelona,4.3,154.94
bookh_35,Barcelona,"Ally's Bed&Breakfast,",4.0,153.84
bookh_36,Barcelona,Alma Azul Consell de Cent,4.3,306.25
bookh_37,Barcelona,Alma Barcelona GL,4.5,463.79
bookh_38,Barcelona,Almanac Barcelona,4.4,443.46
bookh_39,Barcelona,Alojamiento en Calabria,3.6,76.54
bookh_40,Barcelona,Alojamiento en Roger de Flor,3.0,79.42
bookh_41,Barcelona,Alojamiento en Sepulveda,3.5,81.82
bookh_42,Barcelona,Alojamiento Gran via,3.5,62.85
bookh_43,Barcelona,Alojamiento Mallorca,4.3,86.0
bookh_44,Barcelona,Alojamiento Roger,4.1,94.58
bookh_45,Barcelona,Alojamiento Valencia,3.8,65.17
bookh_46,Barcelona,Alojamiento Villaproma,4.5,134.0
bookh_47,Barcelona,Alojamiento Villaroel,3.0,110.33
bookh_48,Barcelona,Alternative Creative Youth Hostel Barcelona,3.6,63.4
bookh_49,Barcelona,Amazing flat in Barceloneta with private terrace 2-2,5.0,273.0
bookh_50,Barcelona,AMISTAT City Hostel Barcelona,4.3,35.69
bookh_51,Barcelona,Anais Apartments by gaiarooms,4.0,211.0
bookh_52,Barcelona,Andante Hotel,4.2,120.13
bookh_53,Barcelona,Ant Hostel Barcelona,3.5,53.59
bookh_54,Barcelona,Antiga Casa Buenavista,4.7,273.91
bookh_55,Barcelona,Antique Soul Apartment Ramblas,3.6,461.0
bookh_56,Barcelona,Antique Soul Apartments & Studios Ramblas,3.8,200.0
bookh_57,Barcelona,Apart-Suites Hostemplo,4.5,334.0
bookh_58,Barcelona,"Apartament modern al carrer Blai, Poble Sec",4.2,594.5
bookh_59,Barcelona,Apartamento cerca de la playa,3.9,213.43
