date,document_count,unique_topics,unique_languages,sentiment,date_str
2009-07-06,1,1,1,neutro,2009-07-06
2010-05-24,1,1,1,negativo,2010-05-24
2010-05-24,1,1,1,positivo,2010-05-24
2011-02-23,10,5,2,positivo,2011-02-23
2011-03-23,3,2,1,positivo,2011-03-23
2011-04-23,4,3,1,positivo,2011-04-23
2011-05-23,11,3,1,positivo,2011-05-23
2011-05-24,2,2,2,positivo,2011-05-24
2011-07-23,4,3,1,positivo,2011-07-23
2011-08-23,29,3,1,positivo,2011-08-23
2011-08-24,2,1,1,positivo,2011-08-24
2011-09-23,22,4,2,positivo,2011-09-23
2011-09-24,2,1,1,positivo,2011-09-24
2011-10-23,11,3,1,positivo,2011-10-23
2011-10-24,2,2,1,positivo,2011-10-24
2011-11-23,188,7,2,positivo,2011-11-23
2011-11-24,4,1,1,positivo,2011-11-24
2011-12-23,15,3,2,positivo,2011-12-23
2011-12-24,1,1,1,positivo,2011-12-24
2012-01-23,175,9,1,positivo,2012-01-23
2012-01-24,4,1,1,positivo,2012-01-24
2012-02-23,180,12,1,positivo,2012-02-23
2012-02-24,5,1,1,positivo,2012-02-24
2012-03-23,1298,27,1,positivo,2012-03-23
2012-03-24,5,2,1,positivo,2012-03-24
2012-04-23,157,2,1,neutro,2012-04-23
2012-04-23,210,16,2,positivo,2012-04-23
2012-04-24,7,2,1,positivo,2012-04-24
2012-05-23,91,16,1,positivo,2012-05-23
2012-05-24,6,1,1,positivo,2012-05-24
2012-06-23,107,15,1,positivo,2012-06-23
2012-06-23,8,1,1,negativo,2012-06-23
2012-06-24,6,1,1,positivo,2012-06-24
2012-07-22,6,1,1,positivo,2012-07-22
2012-07-23,73,3,1,negativo,2012-07-23
2012-07-23,173,28,1,positivo,2012-07-23
2012-07-24,9,2,1,positivo,2012-07-24
2012-08-15,1,1,1,neutro,2012-08-15
2012-08-23,169,25,2,positivo,2012-08-23
2012-08-23,13,1,1,neutro,2012-08-23
2012-08-24,9,3,1,positivo,2012-08-24
2012-09-23,265,35,2,positivo,2012-09-23
2012-09-23,1,1,1,negativo,2012-09-23
2012-09-24,17,2,1,positivo,2012-09-24
2012-10-23,151,29,2,positivo,2012-10-23
2012-10-24,4,2,1,positivo,2012-10-24
2012-10-24,1,1,1,negativo,2012-10-24
2012-11-06,1,1,1,negativo,2012-11-06
2012-11-23,39,13,2,positivo,2012-11-23
2012-11-23,60,2,1,negativo,2012-11-23
2012-11-24,6,1,1,positivo,2012-11-24
2012-12-23,19,7,2,positivo,2012-12-23
2012-12-24,1,1,1,negativo,2012-12-24
2013-01-13,1,1,1,negativo,2013-01-13
2013-01-23,7,4,2,positivo,2013-01-23
2013-01-24,4,1,1,positivo,2013-01-24
2013-01-24,1,1,1,negativo,2013-01-24
2013-02-23,33,10,2,positivo,2013-02-23
2013-02-23,6,1,1,negativo,2013-02-23
2013-02-24,3,1,1,positivo,2013-02-24
2013-02-24,1,1,1,negativo,2013-02-24
2013-03-23,16,1,1,negativo,2013-03-23
2013-03-23,16,1,1,neutro,2013-03-23
2013-03-23,253,22,2,positivo,2013-03-23
2013-03-24,4,1,1,positivo,2013-03-24
2013-04-22,6,1,1,positivo,2013-04-22
2013-04-23,19,1,1,negativo,2013-04-23
2013-04-23,275,24,2,positivo,2013-04-23
2013-04-23,32,2,1,neutro,2013-04-23
2013-04-24,5,2,1,positivo,2013-04-24
2013-05-22,45,7,1,positivo,2013-05-22
2013-05-23,481,24,2,positivo,2013-05-23
2013-05-24,6,1,1,positivo,2013-05-24
2013-05-24,1,1,1,negativo,2013-05-24
2013-06-22,15,8,1,positivo,2013-06-22
2013-06-23,205,36,1,positivo,2013-06-23
2013-06-23,3,2,1,neutro,2013-06-23
2013-06-23,6,2,1,negativo,2013-06-23
2013-06-24,12,1,1,positivo,2013-06-24
2013-06-24,1,1,1,neutro,2013-06-24
2013-07-08,1,1,1,negativo,2013-07-08
2013-07-22,12,6,1,positivo,2013-07-22
2013-07-23,4,1,1,negativo,2013-07-23
2013-07-23,3,2,1,neutro,2013-07-23
2013-07-23,465,34,2,positivo,2013-07-23
2013-07-24,8,3,1,positivo,2013-07-24
2013-08-22,1,1,1,neutro,2013-08-22
2013-08-22,19,8,1,positivo,2013-08-22
2013-08-23,4,1,1,neutro,2013-08-23
2013-08-23,247,37,2,positivo,2013-08-23
2013-08-24,1,1,1,negativo,2013-08-24
2013-08-24,6,1,1,positivo,2013-08-24
