sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,8,51958,43,1.463,"{'es': 26239, 'en': 17398, 'nl': 1306, 'pt': 1045, 'fr': 1043, 'pl': 745, 'it': 666, 'de': 519, 'ko': 434, 'ca': 380, 'ro': 208, 'hu': 206, 'ru': 189, 'sv': 167, 'da': 139, 'cs': 138, 'zh-tw': 121, 'no': 108, 'af': 95, 'tr': 83, 'el': 80, 'ja': 71, 'fi': 67, 'sk': 66, 'lt': 56, 'hr': 50, 'bg': 49, 'sl': 44, 'zh-cn': 41, 'uk': 35, 'et': 28, 'lv': 26, 'ar': 20, 'tl': 16, 'th': 15, 'id': 14, 'so': 13, 'mk': 9, 'sw': 8, 'cy': 7, 'he': 7, 'vi': 6, 'sq': 1}",es,50.5,8,13
negativo,0,5785,30,1.353,"{'en': 2483, 'es': 2237, 'fr': 404, 'de': 263, 'it': 245, 'pt': 46, 'nl': 26, 'pl': 13, 'ca': 9, 'ru': 8, 'he': 6, 'ar': 6, 'sv': 5, 'ro': 4, 'tr': 4, 'ko': 4, 'no': 3, 'cs': 2, 'tl': 2, 'da': 2, 'hr': 2, 'bg': 2, 'el': 2, 'af': 1, 'mk': 1, 'sk': 1, 'sl': 1, 'fi': 1, 'lv': 1, 'hu': 1}",en,42.92,8,11
negativo,211,7,4,1.277,"{'de': 3, 'es': 2, 'fr': 1, 'en': 1}",de,42.86,2,4
negativo,39,570,15,1.211,"{'es': 338, 'en': 154, 'fr': 25, 'it': 16, 'de': 10, 'pt': 6, 'pl': 6, 'nl': 6, 'ro': 2, 'hu': 2, 'cs': 1, 'tr': 1, 'ko': 1, 'sv': 1, 'da': 1}",es,59.3,8,12
negativo,22,704,17,1.167,"{'es': 353, 'en': 278, 'fr': 27, 'nl': 9, 'it': 8, 'da': 6, 'de': 5, 'pt': 5, 'pl': 3, 'sv': 3, 'af': 1, 'no': 1, 'tr': 1, 'lt': 1, 'ko': 1, 'hu': 1, 'ar': 1}",es,50.14,8,11
negativo,20,620,9,1.143,"{'es': 358, 'en': 185, 'fr': 25, 'ca': 14, 'it': 13, 'pt': 12, 'de': 11, 'id': 1, 'sl': 1}",es,57.74,8,12
negativo,125,661,13,1.133,"{'es': 418, 'en': 165, 'it': 20, 'fr': 15, 'de': 13, 'ro': 8, 'pt': 5, 'nl': 4, 'sk': 4, 'sv': 4, 'ca': 2, 'hu': 2, 'hr': 1}",es,63.24,8,12
negativo,139,537,11,1.098,"{'es': 309, 'en': 178, 'it': 12, 'fr': 9, 'ro': 6, 'de': 5, 'pt': 5, 'nl': 4, 'zh-cn': 3, 'el': 3, 'cs': 3}",es,57.54,8,10
negativo,11,21,4,1.095,"{'es': 9, 'en': 9, 'fr': 2, 'it': 1}",es,42.86,5,4
negativo,131,926,18,1.088,"{'es': 598, 'en': 232, 'fr': 28, 'nl': 17, 'it': 14, 'de': 9, 'pt': 7, 'pl': 6, 'da': 3, 'ro': 3, 'bg': 2, 'ko': 1, 'tr': 1, 'cs': 1, 'sl': 1, 'no': 1, 'sv': 1, 'ca': 1}",es,64.58,8,13
negativo,14,805,12,1.077,"{'es': 490, 'en': 238, 'fr': 17, 'pt': 17, 'it': 12, 'de': 11, 'nl': 8, 'da': 4, 'sv': 3, 'el': 3, 'pl': 1, 'ko': 1}",es,60.87,8,12
positivo,9,25684,32,1.071,"{'es': 13856, 'en': 9523, 'fr': 919, 'it': 592, 'de': 438, 'pt': 91, 'nl': 79, 'pl': 29, 'hu': 17, 'ru': 14, 'sv': 12, 'fi': 12, 'ro': 12, 'da': 10, 'el': 9, 'sl': 9, 'cs': 9, 'no': 9, 'ko': 8, 'ca': 6, 'af': 6, 'ja': 4, 'sk': 4, 'hr': 3, 'et': 3, 'zh-cn': 2, 'zh-tw': 2, 'tl': 2, 'bg': 1, 'ar': 1, 'lt': 1, 'uk': 1}",es,53.95,8,11
positivo,6,5210,19,1.07,"{'es': 2897, 'en': 1814, 'fr': 176, 'it': 156, 'de': 105, 'nl': 19, 'pt': 15, 'ro': 4, 'ca': 4, 'el': 3, 'hr': 3, 'tr': 2, 'pl': 2, 'no': 2, 'ko': 2, 'ru': 2, 'ar': 2, 'da': 1, 'sv': 1}",es,55.6,8,11
negativo,128,137,5,1.067,"{'es': 71, 'en': 51, 'fr': 7, 'it': 4, 'de': 4}",es,51.82,6,9
negativo,144,473,10,1.053,"{'es': 314, 'en': 106, 'fr': 14, 'it': 13, 'pt': 11, 'de': 6, 'pl': 4, 'nl': 2, 'hu': 2, 'af': 1}",es,66.38,8,11
negativo,3,1468,13,1.043,"{'es': 894, 'en': 438, 'ca': 50, 'pt': 25, 'fr': 24, 'it': 17, 'de': 12, 'pl': 3, 'sk': 1, 'ro': 1, 'tl': 1, 'tr': 1, 'no': 1}",es,60.9,8,12
positivo,19,2968,11,1.041,"{'es': 1555, 'en': 1171, 'fr': 76, 'de': 68, 'it': 60, 'pt': 14, 'pl': 8, 'nl': 8, 'ro': 3, 'zh-cn': 3, 'ko': 2}",es,52.39,8,11
negativo,75,779,9,1.039,"{'es': 494, 'en': 207, 'ca': 23, 'fr': 22, 'it': 12, 'af': 9, 'de': 8, 'da': 2, 'pt': 2}",es,63.41,8,12
negativo,35,404,13,1.026,"{'es': 248, 'en': 125, 'de': 7, 'nl': 6, 'fr': 4, 'it': 3, 'pl': 3, 'ca': 2, 'hr': 2, 'fi': 1, 'sv': 1, 'el': 1, 'af': 1}",es,61.39,8,10
positivo,4,3998,16,1.024,"{'es': 2191, 'en': 1499, 'fr': 118, 'de': 73, 'it': 64, 'pt': 15, 'nl': 15, 'cs': 8, 'pl': 3, 'da': 2, 'ca': 2, 'ro': 2, 'zh-tw': 2, 'tr': 2, 'ru': 1, 'ar': 1}",es,54.8,8,10
positivo,0,17668,28,1.013,"{'es': 9873, 'en': 6522, 'fr': 478, 'it': 310, 'de': 237, 'pt': 70, 'nl': 51, 'pl': 32, 'ko': 15, 'cs': 13, 'zh-tw': 8, 'ro': 7, 'hu': 6, 'no': 5, 'sk': 5, 'ru': 4, 'fi': 4, 'da': 3, 'uk': 3, 'ca': 3, 'af': 3, 'sv': 3, 'sl': 3, 'zh-cn': 3, 'et': 2, 'el': 2, 'ja': 2, 'lt': 1}",es,55.88,8,12
positivo,25,11595,28,1.007,"{'es': 6238, 'en': 4582, 'fr': 260, 'it': 225, 'de': 115, 'pt': 47, 'nl': 43, 'pl': 19, 'ro': 10, 'el': 8, 'hu': 5, 'no': 4, 'fi': 4, 'da': 4, 'cs': 4, 'ja': 4, 'tr': 3, 'ca': 3, 'hr': 3, 'ar': 2, 'ko': 2, 'ru': 2, 'sv': 2, 'lt': 2, 'lv': 1, 'bg': 1, 'uk': 1, 'sl': 1}",es,53.8,8,12
positivo,23,3264,20,1.001,"{'es': 1606, 'en': 1448, 'fr': 74, 'it': 47, 'de': 46, 'pl': 16, 'nl': 10, 'pt': 2, 'cs': 2, 'da': 2, 'fi': 2, 'hr': 1, 'et': 1, 'sl': 1, 'ro': 1, 'bg': 1, 'lt': 1, 'ca': 1, 'af': 1, 'ru': 1}",es,49.2,8,11
negativo,69,681,16,0.999,"{'es': 419, 'en': 216, 'nl': 14, 'de': 5, 'fr': 5, 'it': 4, 'hr': 3, 'pl': 3, 'pt': 3, 'cs': 2, 'sv': 2, 'tr': 1, 'lt': 1, 'hu': 1, 'no': 1, 'da': 1}",es,61.53,8,12
