season,weather,total_documents,sentiment_breakdown,dominant_sentiment,unique_topics,unique_languages,unique_cities
Verano,"Día cielo nublado, cálido, sin lluvia",22053,"{'positivo': 11809, 'neutro': 5564, 'negativo': 4680}",positivo,208,38,3
Verano,"Día con lluvia moderada, cálido",7985,"{'positivo': 3687, 'neutro': 2852, 'negativo': 1446}",positivo,196,29,6
Verano,"Día cielo con intervalos, cálido, sin lluvia",57258,"{'neutro': 30197, 'positivo': 19160, 'negativo': 7901}",neutro,209,38,7
Verano,"Día soleado, muy caluroso, sin lluvia",20041,"{'neutro': 9281, 'positivo': 7792, 'negativo': 2968}",neutro,205,34,7
Verano,"Día con lluvia intensa, fresco y agradable",647,"{'positivo': 295, 'neutro': 207, 'negativo': 145}",positivo,116,13,2
Verano,"Día con lloviznas, cálido",6199,"{'neutro': 3173, 'positivo': 2077, 'negativo': 949}",neutro,195,27,7
Verano,"Día con lluvia intensa, cálido",2435,"{'positivo': 1506, 'neutro': 615, 'negativo': 314}",positivo,160,16,4
Verano,"Día con lloviznas, fresco y agradable",1585,"{'positivo': 1180, 'neutro': 254, 'negativo': 151}",positivo,134,11,2
Verano,"Día cielo con intervalos, fresco y agradable, sin lluvia",601,"{'positivo': 280, 'neutro': 200, 'negativo': 121}",positivo,107,13,3
Verano,"Día con lluvia moderada, fresco y agradable",977,"{'neutro': 431, 'positivo': 350, 'negativo': 196}",neutro,147,13,3
Verano,"Día cielo con intervalos, muy caluroso, sin lluvia",802,"{'positivo': 602, 'neutro': 147, 'negativo': 53}",positivo,93,10,2
Verano,"Día soleado, cálido, sin lluvia",73877,"{'neutro': 37739, 'positivo': 26173, 'negativo': 9965}",neutro,211,40,7
Verano,"Día cielo con intervalos, cálido, viento moderado, sin lluvia",279,"{'neutro': 226, 'negativo': 34, 'positivo': 19}",neutro,102,7,1
Verano,"Día cielo con intervalos, sin lluvia",159,"{'neutro': 140, 'negativo': 13, 'positivo': 6}",neutro,87,6,1
Verano,"Día, cálido, sin lluvia",142,"{'neutro': 52, 'positivo': 49, 'negativo': 41}",neutro,64,7,1
Verano,"Día soleado, fresco y agradable, sin lluvia",306,"{'positivo': 112, 'neutro': 106, 'negativo': 88}",positivo,86,10,1
Verano,"Día con lluvia moderada, muy caluroso",161,"{'neutro': 88, 'negativo': 37, 'positivo': 36}",neutro,74,5,2
Verano,"Día, sin lluvia",467,"{'neutro': 445, 'positivo': 13, 'negativo': 9}",neutro,129,5,4
Verano,"Día soleado, sin lluvia",57,"{'neutro': 47, 'positivo': 8, 'negativo': 2}",neutro,43,4,1
Verano,"Día con lloviznas, muy caluroso",87,"{'neutro': 82, 'positivo': 3, 'negativo': 2}",neutro,51,5,3
Verano,"Día, muy caluroso, sin lluvia",102,"{'neutro': 101, 'negativo': 1}",neutro,62,4,1
Verano,"Día cielo nublado, fresco y agradable, sin lluvia",1,{'neutro': 1},neutro,1,1,1
Verano,Día con lloviznas,53,"{'neutro': 49, 'positivo': 4}",neutro,41,5,1
