año,mes,unique_topics,unique_languages,document_count,unique_cities,sentiment,date,year_month,outliers_count,outliers_percentage
2009,7,1,1,1,1,neutro,2009-07-01,2009-07,0,0.0
2010,5,1,1,1,1,negativo,2010-05-01,2010-05,1,100.0
2010,5,1,1,1,1,positivo,2010-05-01,2010-05,0,0.0
2011,2,5,2,10,1,positivo,2011-02-01,2011-02,3,30.0
2011,3,2,1,3,1,positivo,2011-03-01,2011-03,1,33.33
2011,4,3,1,4,1,positivo,2011-04-01,2011-04,0,0.0
2011,5,5,2,13,2,positivo,2011-05-01,2011-05,1,7.69
2011,7,3,1,4,1,positivo,2011-07-01,2011-07,1,25.0
2011,8,3,1,31,2,positivo,2011-08-01,2011-08,0,0.0
2011,9,4,2,24,3,positivo,2011-09-01,2011-09,0,0.0
2011,10,5,1,13,2,positivo,2011-10-01,2011-10,7,53.85
2011,11,7,2,192,3,positivo,2011-11-01,2011-11,12,6.25
2011,12,3,2,16,3,positivo,2011-12-01,2011-12,0,0.0
2012,1,9,1,179,2,positivo,2012-01-01,2012-01,9,5.03
2012,2,12,1,185,2,positivo,2012-02-01,2012-02,0,0.0
2012,3,27,1,1303,3,positivo,2012-03-01,2012-03,8,0.61
2012,4,2,1,157,1,neutro,2012-04-01,2012-04,0,0.0
2012,4,17,2,217,3,positivo,2012-04-01,2012-04,4,1.84
2012,5,16,1,97,3,positivo,2012-05-01,2012-05,29,29.9
2012,6,1,1,8,1,negativo,2012-06-01,2012-06,0,0.0
2012,6,15,1,113,2,positivo,2012-06-01,2012-06,9,7.96
2012,7,3,1,73,1,negativo,2012-07-01,2012-07,1,1.37
2012,7,30,1,188,4,positivo,2012-07-01,2012-07,6,3.19
2012,8,2,2,14,2,neutro,2012-08-01,2012-08,0,0.0
2012,8,27,2,178,3,positivo,2012-08-01,2012-08,2,1.12
2012,9,1,1,1,1,negativo,2012-09-01,2012-09,0,0.0
2012,9,36,2,282,5,positivo,2012-09-01,2012-09,7,2.48
2012,10,1,1,1,1,negativo,2012-10-01,2012-10,0,0.0
2012,10,30,2,155,3,positivo,2012-10-01,2012-10,14,9.03
2012,11,3,2,61,2,negativo,2012-11-01,2012-11,0,0.0
2012,11,13,2,45,3,positivo,2012-11-01,2012-11,4,8.89
2012,12,1,1,1,1,negativo,2012-12-01,2012-12,0,0.0
2012,12,7,2,19,1,positivo,2012-12-01,2012-12,3,15.79
2013,1,2,1,2,1,negativo,2013-01-01,2013-01,0,0.0
2013,1,4,2,11,3,positivo,2013-01-01,2013-01,0,0.0
2013,2,2,2,7,2,negativo,2013-02-01,2013-02,0,0.0
2013,2,10,2,36,3,positivo,2013-02-01,2013-02,0,0.0
2013,3,1,1,16,1,negativo,2013-03-01,2013-03,0,0.0
2013,3,1,1,16,1,neutro,2013-03-01,2013-03,0,0.0
2013,3,22,2,257,3,positivo,2013-03-01,2013-03,11,4.28
2013,4,1,1,19,1,negativo,2013-04-01,2013-04,0,0.0
2013,4,2,1,32,1,neutro,2013-04-01,2013-04,0,0.0
2013,4,25,2,286,5,positivo,2013-04-01,2013-04,7,2.45
2013,5,1,1,1,1,negativo,2013-05-01,2013-05,0,0.0
2013,5,30,2,532,4,positivo,2013-05-01,2013-05,15,2.82
2013,6,2,1,6,1,negativo,2013-06-01,2013-06,0,0.0
2013,6,3,1,4,2,neutro,2013-06-01,2013-06,0,0.0
2013,6,43,1,232,4,positivo,2013-06-01,2013-06,27,11.64
2013,7,2,2,5,2,negativo,2013-07-01,2013-07,0,0.0
2013,7,2,1,3,2,neutro,2013-07-01,2013-07,1,33.33
