sentiment,topic_id,document_count,percentage_in_sentiment,language_count,dominant_language,languages,is_multilingual,top_cities,top_categories,year_range,sample_text
positivo,8,51958,15.92,42,es,"{'es': 26239, 'en': 17398, 'nl': 1306, 'pt': 1045, 'fr': 1043, 'pl': 745, 'it': 666, 'de': 519, 'ko': 434, 'ca': 380, 'ro': 208, 'hu': 206, 'ru': 189, 'sv': 167, 'da': 139, 'cs': 138, 'zh-tw': 121, 'no': 108, 'af': 95, 'tr': 83, 'el': 80, 'ja': 71, 'fi': 67, 'sk': 66, 'lt': 56, 'hr': 50, 'bg': 49, 'sl': 44, 'zh-cn': 41, 'uk': 35, 'et': 28, 'lv': 26, 'ar': 20, 'tl': 16, 'th': 15, 'id': 14, 'so': 13, 'mk': 9, 'sw': 8, 'cy': 7, 'he': 7, 'vi': 6, 'sq': 1}",True,"{'Barcelona': 18834, 'Madrid': 15961, 'Sevilla': 6693, 'Tenerife': 4950, 'Valencia': 1876}","{'Tour': 25552, 'Desconocido': 6430, 'Playa': 6311}","{'start': 2012, 'end': 2026}",Easy access having bought tickets prior. Truly amazing and well worth the visit!
positivo,9,25684,7.87,19,es,"{'es': 13856, 'en': 9523, 'fr': 919, 'it': 592, 'de': 438, 'pt': 91, 'nl': 79, 'pl': 29, 'hu': 17, 'ru': 14, 'sv': 12, 'fi': 12, 'ro': 12, 'da': 10, 'el': 9, 'sl': 9, 'cs': 9, 'no': 9, 'ko': 8, 'ca': 6, 'af': 6, 'ja': 4, 'sk': 4, 'hr': 3, 'et': 3, 'zh-cn': 2, 'zh-tw': 2, 'tl': 2, 'bg': 1, 'ar': 1, 'lt': 1, 'uk': 1}",True,"{'Madrid': 8828, 'Barcelona': 8657, 'Tenerife': 3371, 'Sevilla': 2363, 'Gran Canaria': 942}","{'Tour': 13018, 'Playa': 2127, 'Desconocido': 2034}","{'start': 2011, 'end': 2025}",Tutto bene peccato per un caldo asfissiante
negativo,2,24381,23.98,15,es,"{'es': 23681, 'en': 470, 'pt': 56, 'nl': 35, 'it': 19, 'fr': 18, 'de': 18, 'ko': 11, 'pl': 11, 'tr': 8, 'cs': 7, 'sv': 6, 'ru': 6, 'zh-cn': 5, 'ro': 5, 'hu': 5, 'ja': 4, 'he': 3, 'el': 3, 'hr': 2, 'fi': 2, 'bg': 2, 'da': 1, 'lv': 1, 'ca': 1, 'no': 1}",True,"{'Barcelona': 11818, 'Madrid': 5460, 'Malaga': 4584, 'Valencia': 1926, 'Sevilla': 297}","{'Tour': 10965, 'Desconocido': 4431, 'Vida nocturna': 3642}","{'start': 2012, 'end': 2025}",There are no comments.
positivo,0,17668,5.41,18,es,"{'es': 9873, 'en': 6522, 'fr': 478, 'it': 310, 'de': 237, 'pt': 70, 'nl': 51, 'pl': 32, 'ko': 15, 'cs': 13, 'zh-tw': 8, 'ro': 7, 'hu': 6, 'no': 5, 'sk': 5, 'ru': 4, 'fi': 4, 'da': 3, 'uk': 3, 'ca': 3, 'af': 3, 'sv': 3, 'sl': 3, 'zh-cn': 3, 'et': 2, 'el': 2, 'ja': 2, 'lt': 1}",True,"{'Barcelona': 6010, 'Madrid': 5899, 'Tenerife': 1718, 'Sevilla': 1661, 'Malaga': 1008}","{'Tour': 11130, 'Playa': 1744, 'Desconocido': 1434}","{'start': 2012, 'end': 2025}",Bellissima struttura e ottima la videoguida
positivo,1,13596,4.17,16,es,"{'es': 7324, 'en': 5461, 'fr': 316, 'it': 170, 'de': 146, 'pt': 40, 'nl': 36, 'pl': 25, 'hu': 13, 'ar': 8, 'ro': 7, 'fi': 7, 'cs': 7, 'da': 5, 'ru': 5, 'af': 4, 'ca': 4, 'sv': 3, 'el': 3, 'hr': 3, 'no': 2, 'lt': 2, 'et': 2, 'sl': 1, 'sk': 1, 'tr': 1}",True,"{'Barcelona': 5022, 'Madrid': 4318, 'Sevilla': 1331, 'Tenerife': 884, 'Gran Canaria': 688}","{'Tour': 7724, 'Playa': 1364, 'Desconocido': 1318}","{'start': 2012, 'end': 2025}",Superbe visite à faire !
positivo,25,11595,3.55,15,es,"{'es': 6238, 'en': 4582, 'fr': 260, 'it': 225, 'de': 115, 'pt': 47, 'nl': 43, 'pl': 19, 'ro': 10, 'el': 8, 'hu': 5, 'no': 4, 'fi': 4, 'da': 4, 'cs': 4, 'ja': 4, 'tr': 3, 'ca': 3, 'hr': 3, 'ar': 2, 'ko': 2, 'ru': 2, 'sv': 2, 'lt': 2, 'lv': 1, 'bg': 1, 'uk': 1, 'sl': 1}",True,"{'Barcelona': 4178, 'Madrid': 3754, 'Sevilla': 1469, 'Valencia': 649, 'Tenerife': 549}","{'Tour': 6934, 'Playa': 1193, 'Desconocido': 939}","{'start': 2011, 'end': 2026}","Das Metro Netz ist super in Barcelona, alles leicht zu finden. Die Leute sind auch alle sehr nett und helfen gerne weiter."
positivo,7,10000,3.06,13,es,"{'es': 5150, 'en': 4222, 'fr': 268, 'it': 112, 'de': 91, 'pt': 67, 'nl': 22, 'pl': 21, 'ru': 6, 'hu': 5, 'fi': 5, 'ca': 5, 'he': 3, 'ar': 3, 'ja': 2, 'no': 2, 'lv': 2, 'ko': 2, 'bg': 2, 'el': 2, 'da': 1, 'et': 1, 'cs': 1, 'lt': 1, 'ro': 1, 'sk': 1, 'sv': 1, 'zh-cn': 1}",True,"{'Barcelona': 3746, 'Madrid': 2869, 'Sevilla': 1203, 'Tenerife': 714, 'Malaga': 587}","{'Tour': 6212, 'Playa': 1094, 'Hotel': 655}","{'start': 2011, 'end': 2026}","Beautiful ! Great, experienced no hustle easy to get in. Very organized. Love Barcelona ️"
neutro,35,9571,2.25,15,en,"{'en': 7927, 'es': 897, 'fr': 289, 'ca': 183, 'it': 80, 'de': 54, 'pt': 40, 'nl': 26, 'fi': 12, 'ko': 11, 'pl': 11, 'sv': 6, 'el': 4, 'ru': 4, 'hu': 3, 'cs': 3, 'sk': 3, 'ro': 3, 'ja': 3, 'ar': 2, 'zh-tw': 2, 'sl': 2, 'tr': 1, 'da': 1, 'lt': 1, 'zh-cn': 1, 'th': 1, 'hr': 1}",True,"{'Barcelona': 1646, 'Mallorca': 1451, 'Madrid': 1441, 'Sevilla': 1284, 'Malaga': 1158}","{'Tour': 3320, 'Ocio': 2751, 'Desconocido': 1360}","{'start': 2013, 'end': 2026}","Show was pretty good, dancers were very passionate. Facilities are terrible, you had to take stairs and my husband’s seat was under part of the ceiling that had a leak. Not a very pleasant experience for good amount of money. Drink was not very good."
positivo,14,8926,2.74,12,es,"{'es': 4875, 'en': 3538, 'fr': 181, 'it': 132, 'de': 95, 'nl': 42, 'pt': 22, 'pl': 12, 'sv': 9, 'hu': 3, 'da': 3, 'ja': 3, 'so': 2, 'cs': 2, 'fi': 2, 'no': 2, 'ro': 1, 'sk': 1, 'zh-tw': 1}",True,"{'Barcelona': 3342, 'Madrid': 2429, 'Sevilla': 1049, 'Tenerife': 833, 'Malaga': 554}","{'Tour': 5466, 'Playa': 979, 'Hotel': 893}","{'start': 2012, 'end': 2025}",Diese Attraktion darf nicht fehlen und ist mit dem Besuch des Museums und den Erläuterungen zur Denkweise des Architekten Gaudi absolut bereichernd. Zeit um zu entdecken ist unbedingt sinnvoll - sitzen und den Blick schweifen lassen. Die Organisation mit der online Buchung ist empfehlenswert.
neutro,19,8339,1.96,15,en,"{'en': 7552, 'es': 386, 'fr': 112, 'ca': 105, 'it': 59, 'pt': 35, 'tl': 20, 'id': 13, 'nl': 7, 'no': 7, 'de': 6, 'et': 5, 'lt': 4, 'ro': 4, 'pl': 4, 'hu': 4, 'sv': 3, 'sw': 2, 'sl': 2, 'hr': 2, 'cy': 2, 'sk': 2, 'da': 1, 'lv': 1, 'zh-tw': 1}",True,"{'Barcelona': 1541, 'Valencia': 1267, 'Mallorca': 1252, 'Madrid': 1200, 'Sevilla': 1154}","{'Tour': 3045, 'Ocio': 2642, 'Desconocido': 1286}","{'start': 2017, 'end': 2025}",We took bus 24 only short walk to park.
