Year,Category,Indicator,Value,Country
1995,Arrivals,Cruise Passengers,,Spain
1995,Arrivals,Overnights visitors (tourists),32.971,Spain
1995,Arrivals,Same-day visitors (excursionists),19.489,Spain
1996,Arrivals,Cruise Passengers,,Spain
1996,Arrivals,Overnights visitors (tourists),34.027,Spain
1996,Arrivals,Same-day visitors (excursionists),21.05,Spain
1997,Arrivals,Cruise Passengers,,Spain
1997,Arrivals,Overnights visitors (tourists),39.553,Spain
1997,Arrivals,Same-day visitors (excursionists),22.862,Spain
1998,Arrivals,Cruise Passengers,,Spain
1998,Arrivals,Overnights visitors (tourists),41.892,Spain
1998,Arrivals,Same-day visitors (excursionists),26.176,Spain
1999,Arrivals,Cruise Passengers,,Spain
1999,Arrivals,Overnights visitors (tourists),45.44,Spain
1999,Arrivals,Same-day visitors (excursionists),26.599,Spain
2000,Arrivals,Cruise Passengers,,Spain
2000,Arrivals,Overnights visitors (tourists),46.403,Spain
2000,Arrivals,Same-day visitors (excursionists),28.177,Spain
2001,Arrivals,Cruise Passengers,,Spain
2001,Arrivals,Overnights visitors (tourists),48.565,Spain
2001,Arrivals,Same-day visitors (excursionists),26.998,Spain
2002,Arrivals,Cruise Passengers,,Spain
2002,Arrivals,Overnights visitors (tourists),50.331,Spain
2002,Arrivals,Same-day visitors (excursionists),28.983,Spain
2003,Arrivals,Cruise Passengers,,Spain
2003,Arrivals,Overnights visitors (tourists),50.854,Spain
2003,Arrivals,Same-day visitors (excursionists),31.472,Spain
2004,Arrivals,Cruise Passengers,,Spain
2004,Arrivals,Overnights visitors (tourists),52.43,Spain
2004,Arrivals,Same-day visitors (excursionists),33.551,Spain
2005,Arrivals,Cruise Passengers,,Spain
2005,Arrivals,Overnights visitors (tourists),55.914,Spain
2005,Arrivals,Same-day visitors (excursionists),36.649,Spain
2006,Arrivals,Cruise Passengers,,Spain
2006,Arrivals,Overnights visitors (tourists),58.004,Spain
2006,Arrivals,Same-day visitors (excursionists),38.148,Spain
2007,Arrivals,Cruise Passengers,,Spain
2007,Arrivals,Overnights visitors (tourists),58.666,Spain
2007,Arrivals,Same-day visitors (excursionists),40.241,Spain
2008,Arrivals,Cruise Passengers,,Spain
2008,Arrivals,Overnights visitors (tourists),57.192,Spain
2008,Arrivals,Same-day visitors (excursionists),40.478,Spain
2009,Arrivals,Cruise Passengers,,Spain
2009,Arrivals,Overnights visitors (tourists),52.178,Spain
2009,Arrivals,Same-day visitors (excursionists),39.722,Spain
2010,Arrivals,Cruise Passengers,,Spain
2010,Arrivals,Overnights visitors (tourists),52.677,Spain
2010,Arrivals,Same-day visitors (excursionists),41.067,Spain
2011,Arrivals,Cruise Passengers,,Spain
2011,Arrivals,Overnights visitors (tourists),56.177,Spain
2011,Arrivals,Same-day visitors (excursionists),43.01,Spain
2012,Arrivals,Cruise Passengers,,Spain
2012,Arrivals,Overnights visitors (tourists),57.464,Spain
2012,Arrivals,Same-day visitors (excursionists),40.664,Spain
2013,Arrivals,Cruise Passengers,,Spain
2013,Arrivals,Overnights visitors (tourists),60.675,Spain
2013,Arrivals,Same-day visitors (excursionists),42.555,Spain
2014,Arrivals,Cruise Passengers,,Spain
2014,Arrivals,Overnights visitors (tourists),64.939,Spain
2014,Arrivals,Same-day visitors (excursionists),42.206,Spain
2015,Arrivals,Cruise Passengers,,Spain
2015,Arrivals,Overnights visitors (tourists),68.175,Spain
2015,Arrivals,Same-day visitors (excursionists),41.659,Spain
2016,Arrivals,Cruise Passengers,3047,Spain
2016,Arrivals,Overnights visitors (tourists),75.315,Spain
2016,Arrivals,Same-day visitors (excursionists),40.246,Spain
2017,Arrivals,Cruise Passengers,2924,Spain
2017,Arrivals,Overnights visitors (tourists),81.869,Spain
2017,Arrivals,Same-day visitors (excursionists),39.849,Spain
2018,Arrivals,Cruise Passengers,3085,Spain
2018,Arrivals,Overnights visitors (tourists),82.808,Spain
2018,Arrivals,Same-day visitors (excursionists),41.647,Spain
2019,Arrivals,Cruise Passengers,3564,Spain
2019,Arrivals,Overnights visitors (tourists),83.509,Spain
2019,Arrivals,Same-day visitors (excursionists),42.661,Spain
2020,Arrivals,Cruise Passengers,,Spain
2020,Arrivals,Overnights visitors (tourists),18.933,Spain
2020,Arrivals,Same-day visitors (excursionists),17.477,Spain
2021,Arrivals,Cruise Passengers,479,Spain
2021,Arrivals,Overnights visitors (tourists),31.181,Spain
2021,Arrivals,Same-day visitors (excursionists),20.45,Spain
2022,Arrivals,Cruise Passengers,2.541,Spain
2022,Arrivals,Overnights visitors (tourists),71.659,Spain
2022,Arrivals,Same-day visitors (excursionists),33.309,Spain
