Year,Category,Region,Value,Country
1995,Arrivals,Africa,,Spain
1995,Arrivals,Americas,,Spain
1995,Arrivals,East Asia and the Pacific,,Spain
1995,Arrivals,Europe,,Spain
1995,Arrivals,Middle East,,Spain
1995,Arrivals,Total,,Spain
1996,Arrivals,Africa,,Spain
1996,Arrivals,Americas,,Spain
1996,Arrivals,East Asia and the Pacific,,Spain
1996,Arrivals,Europe,,Spain
1996,Arrivals,Middle East,,Spain
1996,Arrivals,Total,,Spain
1997,Arrivals,Africa,26.000,Spain
1997,Arrivals,Americas,1.792.000,Spain
1997,Arrivals,East Asia and the Pacific,292.000,Spain
1997,Arrivals,Europe,34.490.000,Spain
1997,Arrivals,Middle East,,Spain
1997,Arrivals,Total,37.131.000,Spain
1998,Arrivals,Africa,29.000,Spain
1998,Arrivals,Americas,2.113.000,Spain
1998,Arrivals,East Asia and the Pacific,401.000,Spain
1998,Arrivals,Europe,38.800.000,Spain
1998,Arrivals,Middle East,,Spain
1998,Arrivals,Total,41.891.000,Spain
1999,Arrivals,Africa,25.000,Spain
1999,Arrivals,Americas,2.216.000,Spain
1999,Arrivals,East Asia and the Pacific,370.000,Spain
1999,Arrivals,Europe,42.078.000,Spain
1999,Arrivals,Middle East,,Spain
1999,Arrivals,Total,45.441.000,Spain
2000,Arrivals,Africa,37.000,Spain
2000,Arrivals,Americas,2.452.000,Spain
2000,Arrivals,East Asia and the Pacific,321.000,Spain
2000,Arrivals,Europe,42.633.000,Spain
2000,Arrivals,Middle East,,Spain
2000,Arrivals,Total,46.403.000,Spain
2001,Arrivals,Africa,,Spain
2001,Arrivals,Americas,2.125.000,Spain
2001,Arrivals,East Asia and the Pacific,256.000,Spain
2001,Arrivals,Europe,45.019.000,Spain
2001,Arrivals,Middle East,,Spain
2001,Arrivals,Total,48.565.000,Spain
2002,Arrivals,Africa,,Spain
2002,Arrivals,Americas,2.001.000,Spain
2002,Arrivals,East Asia and the Pacific,229.000,Spain
2002,Arrivals,Europe,47.168.000,Spain
2002,Arrivals,Middle East,,Spain
2002,Arrivals,Total,50.331.000,Spain
2003,Arrivals,Africa,,Spain
2003,Arrivals,Americas,1.894.000,Spain
2003,Arrivals,East Asia and the Pacific,237.000,Spain
2003,Arrivals,Europe,47.835.000,Spain
2003,Arrivals,Middle East,,Spain
2003,Arrivals,Total,50.853.000,Spain
2004,Arrivals,Africa,,Spain
2004,Arrivals,Americas,2.079.000,Spain
2004,Arrivals,East Asia and the Pacific,151.000,Spain
2004,Arrivals,Europe,49.239.000,Spain
2004,Arrivals,Middle East,,Spain
2004,Arrivals,Total,52.430.000,Spain
2005,Arrivals,Africa,,Spain
2005,Arrivals,Americas,2.233.000,Spain
2005,Arrivals,East Asia and the Pacific,181.000,Spain
2005,Arrivals,Europe,52.190.000,Spain
2005,Arrivals,Middle East,,Spain
2005,Arrivals,Total,55.914.000,Spain
2006,Arrivals,Africa,,Spain
2006,Arrivals,Americas,2.378.000,Spain
2006,Arrivals,East Asia and the Pacific,255.000,Spain
2006,Arrivals,Europe,54.313.000,Spain
2006,Arrivals,Middle East,,Spain
2006,Arrivals,Total,58.004.000,Spain
2007,Arrivals,Africa,,Spain
2007,Arrivals,Americas,2.313.000,Spain
2007,Arrivals,East Asia and the Pacific,346.000,Spain
2007,Arrivals,Europe,54.927.000,Spain
2007,Arrivals,Middle East,,Spain
2007,Arrivals,Total,58.666.000,Spain
2008,Arrivals,Africa,,Spain
2008,Arrivals,Americas,2.398.000,Spain
2008,Arrivals,East Asia and the Pacific,237.000,Spain
2008,Arrivals,Europe,53.512.000,Spain
2008,Arrivals,Middle East,,Spain
2008,Arrivals,Total,57.192.000,Spain
2009,Arrivals,Africa,267.400,Spain
2009,Arrivals,Americas,2.574.000,Spain
2009,Arrivals,East Asia and the Pacific,505.000,Spain
2009,Arrivals,Europe,48.204.400,Spain
2009,Arrivals,Middle East,,Spain
2009,Arrivals,Total,52.177.800,Spain
2010,Arrivals,Africa,302.000,Spain
2010,Arrivals,Americas,2.618.000,Spain
2010,Arrivals,East Asia and the Pacific,962.000,Spain
2010,Arrivals,Europe,48.290.000,Spain
2010,Arrivals,Middle East,68.000,Spain
2010,Arrivals,Total,52.677.000,Spain
2011,Arrivals,Africa,509.000,Spain
2011,Arrivals,Americas,2.887.000,Spain
2011,Arrivals,East Asia and the Pacific,1.176.000,Spain
2011,Arrivals,Europe,51.420.000,Spain
2011,Arrivals,Middle East,110.000,Spain
2011,Arrivals,Total,56.177.000,Spain
2012,Arrivals,Africa,492.000,Spain
2012,Arrivals,Americas,3.123.000,Spain
