Year,Category,Indicator,Value,Country
1995,Trips,Overnights visitors (tourists),,Spain
1995,Trips,Same-day visitors (excursionists),,Spain
1996,Trips,Overnights visitors (tourists),,Spain
1996,Trips,Same-day visitors (excursionists),,Spain
1997,Trips,Overnights visitors (tourists),,Spain
1997,Trips,Same-day visitors (excursionists),,Spain
1998,Trips,Overnights visitors (tourists),,Spain
1998,Trips,Same-day visitors (excursionists),,Spain
1999,Trips,Overnights visitors (tourists),115.455,Spain
1999,Trips,Same-day visitors (excursionists),,Spain
2000,Trips,Overnights visitors (tourists),146.401,Spain
2000,Trips,Same-day visitors (excursionists),224.615,Spain
2001,Trips,Overnights visitors (tourists),150.567,Spain
2001,Trips,Same-day visitors (excursionists),254.724,Spain
2002,Trips,Overnights visitors (tourists),147.754,Spain
2002,Trips,Same-day visitors (excursionists),255.245,Spain
2003,Trips,Overnights visitors (tourists),154.252,Spain
2003,Trips,Same-day visitors (excursionists),278.409,Spain
2004,Trips,Overnights visitors (tourists),152.351,Spain
2004,Trips,Same-day visitors (excursionists),263.285,Spain
2005,Trips,Overnights visitors (tourists),157.005,Spain
2005,Trips,Same-day visitors (excursionists),,Spain
2006,Trips,Overnights visitors (tourists),154.968,Spain
2006,Trips,Same-day visitors (excursionists),,Spain
2007,Trips,Overnights visitors (tourists),146.781,Spain
2007,Trips,Same-day visitors (excursionists),208.772,Spain
2008,Trips,Overnights visitors (tourists),157.614,Spain
2008,Trips,Same-day visitors (excursionists),235.286,Spain
2009,Trips,Overnights visitors (tourists),154.995,Spain
2009,Trips,Same-day visitors (excursionists),210.257,Spain
2010,Trips,Overnights visitors (tourists),145.477,Spain
2010,Trips,Same-day visitors (excursionists),208.947,Spain
2011,Trips,Overnights visitors (tourists),147.407,Spain
2011,Trips,Same-day visitors (excursionists),200.287,Spain
2012,Trips,Overnights visitors (tourists),148.369,Spain
2012,Trips,Same-day visitors (excursionists),224.442,Spain
2013,Trips,Overnights visitors (tourists),144.527,Spain
2013,Trips,Same-day visitors (excursionists),253.895,Spain
2014,Trips,Overnights visitors (tourists),139.615,Spain
2014,Trips,Same-day visitors (excursionists),323.146,Spain
2015,Trips,Overnights visitors (tourists),150.589,Spain
2015,Trips,Same-day visitors (excursionists),221.676,Spain
2016,Trips,Overnights visitors (tourists),158.938,Spain
2016,Trips,Same-day visitors (excursionists),238.196,Spain
2017,Trips,Overnights visitors (tourists),167.973,Spain
2017,Trips,Same-day visitors (excursionists),280.332,Spain
2018,Trips,Overnights visitors (tourists),168.288,Spain
2018,Trips,Same-day visitors (excursionists),278.191,Spain
2019,Trips,Overnights visitors (tourists),165.953,Spain
2019,Trips,Same-day visitors (excursionists),257.619,Spain
2020,Trips,Overnights visitors (tourists),90.129,Spain
2020,Trips,Same-day visitors (excursionists),160.34,Spain
2021,Trips,Overnights visitors (tourists),128.082,Spain
2021,Trips,Same-day visitors (excursionists),212.971,Spain
2022,Trips,Overnights visitors (tourists),147.713,Spain
2022,Trips,Same-day visitors (excursionists),206.207,Spain
